x,y
0,1.091233109518633
1,0.6132413184238692
2,0.3791389250654285
3,0.2723089443930125
4,0.18633745342366775
5,0.10153744201633637
6,0.06762358894713728
7,0.1294836299217669
8,0.06758914855545607
9,0.0660112046762922
10,0.1138738377761664
11,0.09839554777826671
12,0.0329716711628677
13,0.013913012540828183
14,0.012962705663886805
15,0.013740737457814926
16,0.00722024560821148
17,0.011275734296127743
18,0.015203730970269889
19,0.007351814456465575
20,0.007317202495237402
21,0.04469873366129616
22,0.14281391147553715
23,0.09492062857784962
24,0.0620170306726122
25,0.06507563965998873
26,0.0722952308685724
27,0.11720338414652053
28,0.06550286598582515
29,0.03343491324409053
30,0.08691352232304102
31,0.03247581316765903
32,0.02238938392739806
33,0.012044377198790089
34,0.00414570635608871
35,0.002144842200184446
36,0.0009699781209238315
37,0.0007913431697288307
38,0.0005571294515008912
39,0.0005065705730792892
40,0.0004840142245777346
41,0.0004600787281761167
42,0.00044453478570222475
43,0.00042791825547021167
44,0.00041702275681881613
45,0.00039841685139759583
46,0.0003888127873123868
47,0.00036384939492070434
48,0.0003433875159101
49,0.00029146580543009943
50,0.00017840228006746857
51,7.699031531524655e-05
52,7.336544618059849e-05
53,7.023262163383444e-05
54,6.743514165726206e-05
55,6.490632105111618e-05
56,6.255567810296918e-05
57,6.0373760480631016e-05
58,5.8318925597231395e-05
59,5.634166308929276e-05
60,5.431052883623279e-05
61,5.242744496711767e-05
62,5.077681333019982e-05
63,4.9236613218238484e-05
64,4.779186183132894e-05
65,4.642771214633486e-05
66,4.51239776971229e-05
67,4.388093382936026e-05
68,4.2689675387533745e-05
69,4.15517116087327e-05
70,4.045458028825016e-05
71,3.939485663900318e-05
72,3.8381039226127755e-05
73,3.740034601108518e-05
74,3.645679347663013e-05
75,3.5542337959129126e-05
76,3.46616673025784e-05
77,3.378031366175214e-05
78,3.295215883245889e-05
79,3.213987440823862e-05
80,3.1361582733876215e-05
81,3.061084067143137e-05
82,2.9881995572596077e-05
83,2.9182233370424218e-05
84,2.85123150807537e-05
85,2.7845371270382587e-05
86,2.7187535263276342e-05
87,2.6543649795003456e-05
88,2.591144646245639e-05
89,2.5313154888493246e-05
90,2.4740631920009284e-05
91,2.4157984487335515e-05
92,2.353809549723815e-05
93,2.2990370903783715e-05
94,2.246074917034633e-05
95,2.1943011850422502e-05
96,2.1432161039398526e-05
97,2.0941837554623894e-05
98,2.0466193900112126e-05
99,2.0010662533962405e-05
